QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,ACT,318,Parkes BEAN PPVC,1484,70.77,613,29.23,2097,99.34,14,0.66,2111
1,ACT,101,Parkes CANBERRA PPVC,5750,72.18,2216,27.82,7966,99.58,34,0.43,8000
1,ACT,102,Parkes FENNER PPVC,936,67.78,445,32.22,1381,99.71,4,0.29,1385
1,ACT,318,Pearce,873,63.72,497,36.28,1370,99.2,11,0.8,1381
1,ACT,318,Queanbeyan BEAN PPVC,175,37.31,294,62.69,469,99.36,3,0.64,472
1,ACT,101,Queanbeyan CANBERRA PPVC,239,48.48,254,51.52,493,99,5,1,498
1,ACT,102,Queanbeyan FENNER PPVC,96,45.07,117,54.93,213,99.53,1,0.47,214
1,ACT,101,Red Hill,1331,69.91,573,30.09,1904,99.69,6,0.31,1910
1,ACT,318,Richardson,501,46.74,571,53.26,1072,99.08,10,0.92,1082
1,ACT,102,Scullin,643,69.51,282,30.49,925,99.36,6,0.64,931
1,ACT,101,Special Hospital Team 1,147,68.69,67,31.31,214,96.4,8,3.6,222
1,ACT,102,Special Hospital Team 1,86,46.49,99,53.51,185,97.37,5,2.63,190
1,ACT,318,Special Hospital Team 1,201,64.22,112,35.78,313,98.74,4,1.26,317
1,ACT,101,Special Hospital Team 2,82,72.57,31,27.43,113,96.58,4,3.42,117
1,ACT,101,Special Hospital Team 3,62,58.49,44,41.51,106,99.07,1,0.93,107
1,ACT,102,Taylor,1218,65.27,648,34.73,1866,99.52,9,0.48,1875
1,ACT,318,Tharwa,46,44.66,57,55.34,103,100,0,0,103
1,ACT,318,Theodore,672,51.93,622,48.07,1294,99.08,12,0.92,1306
1,ACT,102,Throsby,446,61.52,279,38.48,725,99.72,2,0.28,727
1,ACT,318,Torrens,479,68.04,225,31.96,704,98.88,8,1.12,712
1,ACT,318,Tuggeranong BEAN PPVC,10069,46.12,11762,53.88,21831,99.23,170,0.77,22001
1,ACT,101,Tuggeranong CANBERRA PPVC,373,57.38,277,42.62,650,98.34,11,1.66,661
1,ACT,102,Tuggeranong FENNER PPVC,231,50.88,223,49.12,454,99.13,4,0.87,458
1,ACT,101,Turner,1446,81.33,332,18.67,1778,99.44,10,0.56,1788
1,ACT,318,Wanniassa,749,53.16,660,46.84,1409,99.02,14,0.98,1423
1,ACT,318,Wanniassa Hills,890,66.37,451,33.63,1341,98.89,15,1.11,1356
1,ACT,318,Waramanga,1008,70.54,421,29.46,1429,99.17,12,0.83,1441
1,ACT,318,Waramanga West,437,65.32,232,34.68,669,98.96,7,1.04,676
1,ACT,101,Watson,2054,80.71,491,19.29,2545,99.38,16,0.62,2561
1,ACT,101,Weetangera (Canberra),1065,72.55,403,27.45,1468,99.66,5,0.34,1473
1,ACT,102,Weetangera (Fenner),174,69.88,75,30.12,249,98.81,3,1.19,252
1,ACT,318,Weston,878,64.65,480,35.35,1358,99.41,8,0.59,1366
1,ACT,318,Woden BEAN PPVC,6185,57.44,4582,42.56,10767,99.24,82,0.76,10849
1,ACT,101,Woden CANBERRA PPVC,3101,61.14,1971,38.86,5072,99.22,40,0.78,5112
1,ACT,102,Woden FENNER PPVC,626,58.07,452,41.93,1078,98.54,16,1.46,1094
1,ACT,101,Yarralumla,806,68.83,365,31.17,1171,99.91,1,0.09,1172
