QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,233,Beaufort,285,26.32,798,73.68,1083,99.18,9,0.82,1092
1,VIC,214,Beaumaris,658,56.92,498,43.08,1156,98.72,15,1.28,1171
1,VIC,214,Beaumaris Central,858,54.55,715,45.45,1573,99.24,12,0.76,1585
1,VIC,214,Beaumaris North,658,61.44,413,38.56,1071,99.35,7,0.65,1078
1,VIC,209,Bedford Park,495,59.93,331,40.07,826,98.69,11,1.31,837
1,VIC,233,Beeac,55,22.09,194,77.91,249,98.81,3,1.19,252
1,VIC,218,Beechworth,805,60.57,524,39.43,1329,99.11,12,0.89,1341
1,VIC,204,Belgrave,614,71.23,248,28.77,862,99.08,8,0.92,870
1,VIC,204,Belgrave South,959,52.61,864,47.39,1823,99.02,18,0.98,1841
1,VIC,320,Bell,1367,82.05,299,17.95,1666,99.05,16,0.95,1682
1,VIC,208,Bell Park,303,39.56,463,60.44,766,98.71,10,1.29,776
1,VIC,208,Bell Park South,237,48.87,248,51.13,485,98.98,5,1.02,490
1,VIC,208,Bell Post Hill,472,46.27,548,53.73,1020,98.74,13,1.26,1033
1,VIC,328,Bellbrae,508,74.93,170,25.07,678,99.41,4,0.59,682
1,VIC,222,Bellbridge,971,46.08,1136,53.92,2107,97.86,46,2.14,2153
1,VIC,221,Bellevue,585,47.91,636,52.09,1221,99.11,11,0.89,1232
1,VIC,220,Bellfield,768,64.16,429,35.84,1197,99.34,8,0.66,1205
1,VIC,208,Belmont,676,66.08,347,33.92,1023,98.94,11,1.06,1034
1,VIC,208,Belmont North,1461,59.83,981,40.17,2442,98.99,25,1.01,2467
1,VIC,323,Bena,111,28.76,275,71.24,386,99.23,3,0.77,389
1,VIC,218,Benalla,563,33.18,1134,66.82,1697,99.07,16,0.93,1713
1,VIC,218,Benalla PPVC,1852,27.2,4958,72.8,6810,99.1,62,0.9,6872
1,VIC,200,Bendigo,230,46.46,265,53.54,495,99,5,1,500
1,VIC,200,Bendigo BENDIGO PPVC,6732,39.64,10251,60.36,16983,99.23,131,0.77,17114
1,VIC,200,Bendigo Central,762,52.26,696,47.74,1458,98.65,20,1.35,1478
1,VIC,200,Bendigo Central PPVC,3691,36,6562,64,10253,99,104,1,10357
1,VIC,200,Bendigo East,339,46.12,396,53.88,735,99.06,7,0.94,742
1,VIC,224,Bendigo MALLEE PPVC,88,27.24,235,72.76,323,99.69,1,0.31,324
1,VIC,200,Bendigo North,398,38.75,629,61.25,1027,98.18,19,1.82,1046
1,VIC,205,Bennettswood,658,51.25,626,48.75,1284,99,13,1,1297
1,VIC,214,Bentleigh,1135,62.23,689,37.77,1824,98.7,24,1.3,1848
1,VIC,214,Bentleigh Central (Goldstein),308,52.38,280,47.62,588,98.66,8,1.34,596
1,VIC,217,Bentleigh Central (Hotham),616,51.94,570,48.06,1186,98.92,13,1.08,1199
1,VIC,217,Bentleigh East,569,55.73,452,44.27,1021,98.27,18,1.73,1039
1,VIC,214,Bentleigh South (Goldstein),382,53.06,338,46.94,720,99.31,5,0.69,725
1,VIC,217,Bentleigh South (Hotham),501,52.68,450,47.32,951,98.96,10,1.04,961
1,VIC,219,Bentleigh South (Isaacs),107,50.71,104,49.29,211,100,0,0,211
1,VIC,214,Bentleigh West,1191,59.17,822,40.83,2013,99.16,17,0.84,2030
