QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,195,Howrah East,227,54.7,188,45.3,415,99.05,4,0.95,419
1,TAS,195,Howrah South,912,55.14,742,44.86,1654,99.22,13,0.78,1667
1,TAS,195,Huonville,635,41.5,895,58.5,1530,99.16,13,0.84,1543
1,TAS,192,Invermay,347,45.96,408,54.04,755,98.56,11,1.44,766
1,TAS,192,Invermay South,431,47.41,478,52.59,909,98.8,11,1.2,920
1,TAS,193,Irishtown,35,12.96,235,87.04,270,99.26,2,0.74,272
1,TAS,195,Judbury,111,36.63,192,63.37,303,98.7,4,1.3,307
1,TAS,192,Karoola,83,27.76,216,72.24,299,99.34,2,0.66,301
1,TAS,192,Kelso,113,37.42,189,62.58,302,98.37,5,1.63,307
1,TAS,196,Kempton,90,30.51,205,69.49,295,98.66,4,1.34,299
1,TAS,195,Kettering,284,57.37,211,42.63,495,98.61,7,1.39,502
1,TAS,192,Kings Meadows,410,41.54,577,58.46,987,99,10,1,997
1,TAS,192,Kings Meadows South,179,36.61,310,63.39,489,99.8,1,0.2,490
1,TAS,319,Kingston (Clark),391,64.63,214,35.37,605,98.37,10,1.63,615
1,TAS,195,Kingston (Franklin),1314,55.09,1071,44.91,2385,99.09,22,0.91,2407
1,TAS,319,Kingston Beach (Clark),161,67.36,78,32.64,239,99.58,1,0.42,240
1,TAS,195,Kingston Beach (Franklin),643,60.83,414,39.17,1057,98.79,13,1.21,1070
1,TAS,319,Kingston CLARK PPVC,860,60.31,566,39.69,1426,99.37,9,0.63,1435
1,TAS,195,Kingston FRANKLIN PPVC,3585,48.53,3802,51.47,7387,99.19,60,0.81,7447
1,TAS,195,Kingston South,193,61.66,120,38.34,313,99.68,1,0.32,314
1,TAS,195,Kingston West,385,46.33,446,53.67,831,98.81,10,1.19,841
1,TAS,196,Lachlan,168,34.78,315,65.22,483,98.57,7,1.43,490
1,TAS,192,Lady Barron,59,43.38,77,56.62,136,99.27,1,0.73,137
1,TAS,193,Latrobe,310,23.27,1022,76.73,1332,98.67,18,1.33,1350
1,TAS,193,Latrobe South,296,25.34,872,74.66,1168,98.57,17,1.43,1185
1,TAS,195,Lauderdale,1024,50.39,1008,49.61,2032,98.59,29,1.41,2061
1,TAS,192,Launceston,694,55.88,548,44.12,1242,98.49,19,1.51,1261
1,TAS,192,Launceston BASS PPVC,5843,41.8,8137,58.2,13980,99.13,123,0.87,14103
1,TAS,192,Launceston Central,225,57.99,163,42.01,388,99.23,3,0.77,391
1,TAS,196,Launceston LYONS PPVC,928,32.01,1971,67.99,2899,99.08,27,0.92,2926
1,TAS,192,Lebrina,56,25.23,166,74.77,222,99.11,2,0.89,224
1,TAS,192,Legana,793,36.38,1387,63.62,2180,98.69,29,1.31,2209
1,TAS,192,Legana Central,95,30.16,220,69.84,315,99.68,1,0.32,316
1,TAS,319,Lenah Valley,1444,71.1,587,28.9,2031,99.02,20,0.98,2051
1,TAS,192,Lilydale,279,42.34,380,57.66,659,98.8,8,1.2,667
1,TAS,195,Lindisfarne,723,61.43,454,38.57,1177,98.66,16,1.34,1193
1,TAS,195,Lindisfarne Village,890,61.29,562,38.71,1452,99.05,14,0.95,1466
1,TAS,196,Longford,586,29.88,1375,70.12,1961,99.14,17,0.86,1978
1,TAS,196,Lower Barrington,108,21.26,400,78.74,508,98.26,9,1.74,517
1,TAS,319,Lower Sandy Bay,446,59.31,306,40.69,752,98.95,8,1.05,760
1,TAS,196,Magra,117,20.53,453,79.47,570,96.94,18,3.06,588
1,TAS,195,Margate,692,49.71,700,50.29,1392,98.65,19,1.35,1411
1,TAS,193,Marrawah,36,18.27,161,81.73,197,99.49,1,0.51,198
1,TAS,196,Meander,101,35.07,187,64.93,288,99.65,1,0.35,289
1,TAS,193,Melrose,58,23.77,186,76.23,244,98.39,4,1.61,248
1,TAS,195,Middleton,153,55.23,124,44.77,277,98.93,3,1.07,280
1,TAS,196,Midway Point,473,47.49,523,52.51,996,98.32,17,1.68,1013
1,TAS,196,Miena,36,20.57,139,79.43,175,99.43,1,0.57,176
1,TAS,196,Mole Creek,83,31.68,179,68.32,262,99.24,2,0.76,264
1,TAS,196,Molesworth,128,40.38,189,59.62,317,98.14,6,1.86,323
1,TAS,195,Montagu Bay,605,62.5,363,37.5,968,99.28,7,0.72,975
1,TAS,193,Montello,322,32.14,680,67.86,1002,98.82,12,1.18,1014
1,TAS,319,Moonah,692,62.01,424,37.99,1116,99.2,9,0.8,1125
1,TAS,319,Moonah East,811,56.79,617,43.21,1428,98.89,16,1.11,1444
1,TAS,193,Moorleah,53,24.77,161,75.23,214,99.07,2,0.93,216
1,TAS,195,Mornington,322,53.67,278,46.33,600,97.88,13,2.12,613
1,TAS,319,Mount Nelson,741,69.58,324,30.42,1065,98.89,12,1.11,1077
1,TAS,319,Mount Stuart,669,77.25,197,22.75,866,98.86,10,1.14,876
1,TAS,195,Mountain River,304,49.11,315,50.89,619,98.41,10,1.59,629
1,TAS,192,Mowbray,238,41.83,331,58.17,569,99.48,3,0.52,572
1,TAS,193,Natone,30,21.43,110,78.57,140,98.59,2,1.41,142
1,TAS,196,New Norfolk,629,32.9,1283,67.1,1912,98.1,37,1.9,1949
1,TAS,196,New Norfolk North,350,27.58,919,72.42,1269,97.92,27,2.08,1296
1,TAS,319,New Town Central,541,66.71,270,33.29,811,98.78,10,1.22,821
1,TAS,319,New Town West,864,68.35,400,31.65,1264,99.06,12,0.94,1276
1,TAS,192,Newnham,594,31.71,1279,68.29,1873,98.48,29,1.52,1902
1,TAS,192,Newnham South,363,36.34,636,63.66,999,99.01,10,0.99,1009
1,TAS,192,Newstead,817,49.88,821,50.12,1638,98.91,18,1.09,1656
1,TAS,195,North Bruny,46,77.97,13,22.03,59,100,0,0,59
1,TAS,319,North Hobart,571,75.53,185,24.47,756,99.08,7,0.92,763
1,TAS,319,North Hobart Central,1076,73.85,381,26.15,1457,98.38,24,1.62,1481
1,TAS,193,North Motton,69,24.04,218,75.96,287,98.97,3,1.03,290
1,TAS,192,Norwood,637,38.87,1002,61.13,1639,98.5,25,1.5,1664
1,TAS,192,Norwood North,193,46.39,223,53.61,416,99.28,3,0.72,419
1,TAS,196,Nubeena,317,45.16,385,54.84,702,98.87,8,1.13,710
1,TAS,192,Nunamara,91,31.82,195,68.18,286,98.96,3,1.04,289
1,TAS,196,Oatlands,182,27.7,475,72.3,657,98.5,10,1.5,667
1,TAS,196,Old Beach,639,37.04,1086,62.96,1725,98.35,29,1.65,1754
1,TAS,196,Orford,163,35.82,292,64.18,455,99.34,3,0.66,458
1,TAS,195,Other Mobile Team 1,12,50,12,50,24,96,1,4,25
1,TAS,319,Other Mobile Team 1,3,50,3,50,6,100,0,0,6
1,TAS,192,Other Mobile Team 1,2,28.57,5,71.43,7,100,0,0,7
1,TAS,193,Other Mobile Team 1,95,11.99,697,88.01,792,98.63,11,1.37,803
1,TAS,192,Other Mobile Team 2,12,85.71,2,14.29,14,100,0,0,14
1,TAS,319,Other Mobile Team 2,1,33.33,2,66.67,3,100,0,0,3
1,TAS,195,Other Mobile Team 2,8,66.67,4,33.33,12,100,0,0,12
1,TAS,196,Ouse,61,20.68,234,79.32,295,98.66,4,1.34,299
1,TAS,193,Penguin,460,32.06,975,67.94,1435,99.03,14,0.97,1449
1,TAS,196,Perth,548,29.37,1318,70.63,1866,98.42,30,1.58,1896
1,TAS,192,Pipers River,61,26.52,169,73.48,230,98.29,4,1.71,234
1,TAS,196,Pontville,205,26.83,559,73.17,764,99.22,6,0.78,770
1,TAS,193,Port Sorell,452,30.46,1032,69.54,1484,98.93,16,1.07,1500
1,TAS,193,Port Sorell West,328,35.57,594,64.43,922,98.82,11,1.18,933
