QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,302,Bongaree,398,29.29,961,70.71,1359,98.91,15,1.09,1374
1,QLD,171,Bonogin (McPherson),100,34.84,187,65.16,287,97.95,6,2.05,293
1,QLD,316,Bonogin (Wright),350,31.76,752,68.24,1102,99.46,6,0.54,1108
1,QLD,316,Boonah,203,25.66,588,74.34,791,99.25,6,0.75,797
1,QLD,316,Boonah PPVC,509,18.24,2281,81.76,2790,99.11,25,0.89,2815
1,QLD,169,Boondall,417,47.88,454,52.12,871,98.86,10,1.14,881
1,QLD,169,Boondall LILLEY PPVC,3485,38.3,5615,61.7,9100,99.32,62,0.68,9162
1,QLD,175,Boondall PETRIE PPVC,953,33.94,1855,66.06,2808,99.36,18,0.64,2826
1,QLD,178,Boonooroo,38,12.06,277,87.94,315,100,0,0,315
1,QLD,178,Boreen Point,162,41.54,228,58.46,390,98.73,5,1.27,395
1,QLD,162,Boronia Heights (Forde),459,30.4,1051,69.6,1510,98.5,23,1.5,1533
1,QLD,176,Boronia Heights (Rankin),141,32.71,290,67.29,431,99.08,4,0.92,435
1,QLD,311,Bouldercombe,54,14.44,320,85.56,374,99.2,3,0.8,377
1,QLD,167,Boulia,22,20,88,80,110,100,0,0,110
1,QLD,158,Bowen,243,20.68,932,79.32,1175,99.07,11,0.93,1186
1,QLD,158,Bowen PPVC,597,14.34,3566,85.66,4163,99.52,20,0.48,4183
1,QLD,164,Bowenville,10,8.2,112,91.8,122,100,0,0,122
1,QLD,311,Boyne Island,336,23.01,1124,76.99,1460,99.05,14,0.95,1474
1,QLD,311,Boyne Tannum PPVC,771,22.84,2605,77.16,3376,99.5,17,0.5,3393
1,QLD,311,Boyne Valley,23,17.04,112,82.96,135,99.26,1,0.74,136
1,QLD,175,Bracken Ridge,426,36.22,750,63.78,1176,98.91,13,1.09,1189
