2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:49 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NSW,251,Bankstown WATSON PPVC,2054,38.16,3328,61.84,5382,97.48,139,2.52,5521
1,NSW,107,Bankstown West,451,35.43,822,64.57,1273,96.44,47,3.56,1320
1,NSW,145,Banora Point,264,33.5,524,66.5,788,97.77,18,2.23,806
1,NSW,145,Banora Point North,337,34.32,645,65.68,982,98.59,14,1.41,996
1,NSW,145,Banora Point South,514,37.77,847,62.23,1361,98.77,17,1.23,1378
1,NSW,145,Banora Point West,365,32.3,765,67.7,1130,98.26,20,1.74,1150
1,NSW,139,Baradine,78,14.61,456,85.39,534,98.89,6,1.11,540
1,NSW,149,Barangaroo,623,56.08,488,43.92,1111,98.76,14,1.24,1125
1,NSW,124,Barden Ridge,570,32.97,1159,67.03,1729,99.03,17,0.97,1746
1,NSW,131,Bardia (Macarthur),52,52,48,48,100,99.01,1,0.99,101
1,NSW,153,Bardia (Werriwa),956,51.43,903,48.57,1859,98.2,34,1.8,1893
1,NSW,104,Bardwell Park,465,45.95,547,54.05,1012,98.35,17,1.65,1029
1,NSW,118,Barellan,58,20.07,231,79.93,289,98.97,3,1.03,292
1,NSW,125,Bargo,241,25.03,722,74.97,963,98.17,18,1.83,981
1,NSW,125,Bargo Central,103,19.69,420,80.31,523,99.81,1,0.19,524
1,NSW,118,Barham,139,16.05,727,83.95,866,99.43,5,0.57,871
1,NSW,250,Barmedman,24,18.9,103,81.1,127,100,0,0,127
1,NSW,126,Barnsley,286,27.24,764,72.76,1050,98.59,15,1.41,1065
1,NSW,118,Barooga,120,20.65,461,79.35,581,99.49,3,0.51,584
1,NSW,135,Barraba,186,20.44,724,79.56,910,99.02,9,0.98,919
1,NSW,150,Barrack Heights,303,38.6,482,61.4,785,98.13,15,1.88,800
1,NSW,130,Barrington,56,43.75,72,56.25,128,98.46,2,1.54,130
1,NSW,109,Barry,54,28.27,137,71.73,191,100,0,0,191
1,NSW,120,Basin View,193,33.57,382,66.43,575,99.14,5,0.86,580
1,NSW,107,Bass Hill,486,28.49,1220,71.51,1706,96.06,70,3.94,1776
1,NSW,107,Bass Hill Central,157,29.35,378,70.65,535,97.81,12,2.19,547
1,NSW,107,Bass Hill West,610,26.71,1674,73.29,2284,97.15,67,2.85,2351
1,NSW,115,Bateau Bay Central,171,37.34,287,62.66,458,99.13,4,0.87,462
1,NSW,115,Bateau Bay East,884,46.38,1022,53.62,1906,98.65,26,1.35,1932
1,NSW,115,Bateau Bay South,120,49.18,124,50.82,244,98.79,3,1.21,247
1,NSW,120,Batehaven,339,40.26,503,59.74,842,98.59,12,1.41,854
1,NSW,120,Batemans Bay,400,31.52,869,68.48,1269,97.69,30,2.31,1299
1,NSW,120,Batemans Bay PPVC,3372,32.93,6868,67.07,10240,99.13,90,0.87,10330
1,NSW,109,Bathurst,365,39.21,566,60.79,931,97.9,20,2.1,951
1,NSW,109,Bathurst Central,571,40.79,829,59.21,1400,98.38,23,1.62,1423
1,NSW,109,Bathurst City,472,35.92,842,64.08,1314,98.06,26,1.94,1340
1,NSW,109,Bathurst North,225,42.45,305,57.55,530,100,0,0,530
1,NSW,109,Bathurst PPVC,3249,25.84,9325,74.16,12574,99.02,124,0.98,12698
1,NSW,109,Bathurst South,253,37.48,422,62.52,675,98.83,8,1.17,683
1,NSW,109,Bathurst West,433,35.84,775,64.16,1208,98.29,21,1.71,1229
1,NSW,117,Batlow,118,27.51,311,72.49,429,98.85,5,1.15,434
1,NSW,134,Baulkham Hills,1328,47.63,1460,52.37,2788,99.18,23,0.82,2811
1,NSW,106,Baulkham Hills BEROWRA PPVC,365,26.15,1031,73.85,1396,99.01,14,0.99,1410
1,NSW,134,Baulkham Hills Central,477,46.27,554,53.73,1031,98.94,11,1.06,1042
1,NSW,134,Baulkham Hills City,488,44.61,606,55.39,1094,98.92,12,1.08,1106
1,NSW,122,Baulkham Hills GREENWAY PPVC,796,42.66,1070,57.34,1866,98.99,19,1.01,1885
1,NSW,134,Baulkham Hills MITCHELL PPVC,6635,35.51,12052,64.49,18687,99.37,119,0.63,18806
1,NSW,134,Baulkham Hills North,1185,46.02,1390,53.98,2575,99,26,1,2601
1,NSW,134,Baulkham Hills North West,169,52,156,48,325,99.39,2,0.61,327
1,NSW,140,Baulkham Hills PARRAMATTA PPVC,258,36.29,453,63.71,711,98.48,11,1.52,722
1,NSW,134,Baulkham Hills South,521,40.67,760,59.33,1281,99.38,8,0.62,1289
1,NSW,134,Baulkham Hills South West,217,52.67,195,47.33,412,98.33,7,1.67,419
1,NSW,134,Baulkham Hills West,696,44.9,854,55.1,1550,99.3,11,0.7,1561
1,NSW,120,Bawley Point,230,50.66,224,49.34,454,99.34,3,0.66,457
1,NSW,113,Bayldon,658,34.8,1233,65.2,1891,98.28,33,1.72,1924
1,NSW,132,Bayview,543,56.56,417,43.44,960,99.28,7,0.72,967
1,NSW,132,Beacon Hill (Mackellar),679,50.6,663,49.4,1342,98.6,19,1.4,1361
1,NSW,151,Beacon Hill (Warringah),265,51.46,250,48.54,515,98.66,7,1.34,522
1,NSW,149,Beaconsfield,513,68.22,239,31.78,752,99.08,7,0.92,759
1,NSW,134,Beaumont Hills,1028,40.03,1540,59.97,2568,98.96,27,1.04,2595
1,NSW,134,Beaumont Hills Central,661,44.3,831,55.7,1492,98.94,16,1.06,1508
1,NSW,136,Beaumont Park,306,52.76,274,47.24,580,98.14,11,1.86,591
1,NSW,151,Beauty Point,461,55.88,364,44.12,825,98.92,9,1.08,834
1,NSW,250,Bedgerabong,13,13.4,84,86.6,97,98.98,1,1.02,98
1,NSW,130,Beechwood,120,22.43,415,77.57,535,97.81,12,2.19,547
1,NSW,106,Beecroft,1284,56.22,1000,43.78,2284,99.3,16,0.7,2300
1,NSW,106,Beecroft North,126,53.85,108,46.15,234,99.57,1,0.43,235
1,NSW,118,Beelbangera,118,22.22,413,77.78,531,99.44,3,0.56,534
1,NSW,117,Bega,240,45.54,287,54.46,527,99.25,4,0.75,531
1,NSW,117,Bega Central,143,48.31,153,51.69,296,98.34,5,1.66,301
1,NSW,117,Bega Heights,279,42.53,377,57.47,656,98.8,8,1.2,664
1,NSW,117,Bega PPVC,2208,37.86,3624,62.14,5832,98.95,62,1.05,5894
1,NSW,117,Belconnen EDEN-MONARO PPVC,190,51.77,177,48.23,367,98.66,5,1.34,372
1,NSW,251,Belfield,124,46.27,144,53.73,268,99.26,2,0.74,270
1,NSW,134,Bella Vista,605,49.23,624,50.77,1229,99.11,11,0.89,1240
1,NSW,134,Bella Vista North,1248,42.75,1671,57.25,2919,98.65,40,1.35,2959
1,NSW,114,Bellambi,265,56.62,203,43.38,468,97.7,11,2.3,479
1,NSW,139,Bellata,6,4.26,135,95.74,141,99.3,1,0.7,142
1,NSW,126,Bellbird,288,27.02,778,72.98,1066,98.7,14,1.3,1080
