QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,240,Bibra Lake,798,46.56,916,53.44,1714,99.25,13,0.75,1727
1,WA,248,Bicton,905,54.62,752,45.38,1657,99.04,16,0.96,1673
1,WA,248,Bicton North,277,52.56,250,47.44,527,98.69,7,1.31,534
1,WA,312,Bilingurr,245,53.38,214,46.62,459,99.57,2,0.43,461
1,WA,312,Bindoon,185,18.41,820,81.59,1005,99.7,3,0.3,1008
1,WA,239,Binningup,140,28.46,352,71.54,492,98.4,8,1.6,500
1,WA,312,Bluff Point,331,32.58,685,67.42,1016,98.35,17,1.65,1033
1,WA,312,Bluff Point South,117,30.55,266,69.45,383,98.97,4,1.03,387
1,WA,243,Boddington,109,17.17,526,82.83,635,98.6,9,1.4,644
1,WA,248,Booragoon,897,51.32,851,48.68,1748,99.21,14,0.79,1762
1,WA,243,Boulder,246,20.25,969,79.75,1215,99.35,8,0.65,1223
1,WA,239,Boyanup,183,22.54,629,77.46,812,99.02,8,0.98,820
1,WA,243,Boyup Brook,120,15.75,642,84.25,762,99.48,4,0.52,766
1,WA,305,Brabham,1041,43,1380,57,2421,99.3,17,0.7,2438
1,WA,243,Bremer Bay,54,17.03,263,82.97,317,98.75,4,1.25,321
1,WA,248,Brentwood,897,51.79,835,48.21,1732,99.2,14,0.8,1746
1,WA,243,Bridgetown,534,34.17,1029,65.83,1563,98.92,17,1.08,1580
1,WA,317,Brookdale,489,35.1,904,64.9,1393,99.08,13,0.92,1406
1,WA,243,Brookton,55,13.55,351,86.45,406,99.51,2,0.49,408
1,WA,312,Broome,541,56.24,421,43.76,962,98.77,12,1.23,974
1,WA,312,Broome PPVC,2092,50.24,2072,49.76,4164,99.28,30,0.72,4194
1,WA,243,Broomehill,37,17.37,176,82.63,213,97.71,5,2.29,218
1,WA,243,Bruce Rock,80,20.73,306,79.27,386,99.48,2,0.52,388
1,WA,239,Brunswick,105,17.89,482,82.11,587,98.99,6,1.01,593
1,WA,248,Bull Creek,611,45.8,723,54.2,1334,99.18,11,0.82,1345
1,WA,248,Bull Creek East,481,47.3,536,52.7,1017,99.12,9,0.88,1026
1,WA,312,Bullsbrook,500,20.97,1884,79.03,2384,98.96,25,1.04,2409
1,WA,239,Bunbury,604,46.11,706,53.89,1310,98.72,17,1.28,1327
1,WA,239,Bunbury Central,399,36.74,687,63.26,1086,98.55,16,1.45,1102
1,WA,239,Bunbury East,337,34.46,641,65.54,978,98.39,16,1.61,994
1,WA,239,Bunbury PPVC,3726,24.45,11512,75.55,15238,99.34,101,0.66,15339
1,WA,239,Bunbury South,475,38.15,770,61.85,1245,99.2,10,0.8,1255
1,WA,239,Burekup,114,26.33,319,73.67,433,98.63,6,1.37,439
1,WA,242,Burns Beach,788,35.12,1456,64.88,2244,99.16,19,0.84,2263
1,WA,239,Busselton,301,40.9,435,59.1,736,98.92,8,1.08,744
1,WA,239,Busselton East,377,33.69,742,66.31,1119,98.59,16,1.41,1135
1,WA,239,Busselton PPVC,2893,26.64,7966,73.36,10859,99.23,84,0.77,10943
1,WA,239,Busselton South,703,34.63,1327,65.37,2030,98.35,34,1.65,2064
1,WA,239,Busselton West,486,35.37,888,64.63,1374,99.06,13,0.94,1387
1,WA,244,Butler,527,32.45,1097,67.55,1624,99.57,7,0.43,1631
1,WA,244,Butler East,466,37.07,791,62.93,1257,99.13,11,0.87,1268
1,WA,244,Butler North,402,38.92,631,61.08,1033,99.04,10,0.96,1043
1,WA,244,Butler South,171,39.86,258,60.14,429,99.31,3,0.69,432
1,WA,236,Byford,513,27.96,1322,72.04,1835,99.4,11,0.6,1846
1,WA,236,Byford North,339,28.97,831,71.03,1170,99.07,11,0.93,1181
1,WA,236,Byford PPVC,1422,19.87,5734,80.13,7156,99.29,51,0.71,7207
1,WA,236,Byford West,716,31.82,1534,68.18,2250,98.9,25,1.1,2275
1,WA,312,Cable Beach,303,61.21,192,38.79,495,99,5,1,500
1,WA,312,Calingiri,14,8.59,149,91.41,163,99.39,1,0.61,164
1,WA,235,Calista,514,38.94,806,61.06,1320,98.58,19,1.42,1339
1,WA,317,Camillo,330,32.67,680,67.33,1010,98.44,16,1.56,1026
1,WA,317,Camillo South,497,35.45,905,64.55,1402,98.59,20,1.41,1422
1,WA,248,Canning Vale,938,38.11,1523,61.89,2461,98.8,30,1.2,2491
1,WA,248,Canning Vale East,327,36.29,574,63.71,901,98.69,12,1.31,913
1,WA,248,Canning Vale North,880,43.39,1148,56.61,2028,99.12,18,0.88,2046
1,WA,248,Canning Vale South,639,37.97,1044,62.03,1683,99.29,12,0.71,1695
1,WA,248,Canning Vale West,836,39.79,1265,60.21,2101,99.01,21,0.99,2122
1,WA,312,Cape Burney,52,26.8,142,73.2,194,98.98,2,1.02,196
